@relation answerExp1
@attribute AnswerType STRING
@attribute Question STRING
@data
"NUM:count" , "how many degrees cooler is the inside of a cucumber than the air outside" 
"HUM:ind" , "what double talking professor holds a doctorate in nothing" 
"LOC:city" , "what are the five most expensive cities in the world" 
"HUM:ind" , "what writer had a country estate on the hudson dubbed sunnyside" 
"NUM:count" , "how many layers of yellow paint is a faber mongol pencil lucky enough to be sprayed with" 
"HUM:ind" , "what was the name of the cook on rawhide" 
"LOC:other" , "what county is chicago in" 
"NUM:dist" , "what is the wingspan of a condor" 
"HUM:ind" , "who was named admiral of the ocean seas and viceroy and governor general of all the islands he might discover and also granted of all profits of his voyage" 
"NUM:money" , "what does an average daycare provider get paid in new england" 
"HUM:ind" , "what author landed a marlin without harness in the early" 
"NUM:count" , "how many americans fought for the british in the american revolution" 
"NUM:count" , "how many oceans are there and name them" 
"NUM:count" , "how many pairs of legs does a lobster have" 
"LOC:other" , "where is the danube" 
"HUM:ind" , "what lawyer won the largest divorce settlement million in history for sheika dena" 
"HUM:ind" , "who delivered his last newscast on march" 
"NUM:count" , "how many times has louie louie been recorded" 
"LOC:other" , "what is the longest place name in the" 
"NUM:perc" , "what percent liked thatcher after she had been in power for a decade" 
"LOC:other" , "where does buzz aldrin want to build a permanent manned space station" 
"LOC:other" , "where can i find correct tabs for third eye blind songs" 
"HUM:ind" , "what former baseball pitcher was known as space man" 
"HUM:ind" , "what was michelangelo last name" 
"HUM:ind" , "who was the democratic nominee in the american presidential election" 
"LOC:country" , "what asian country has a bill of rights for cows" 
"NUM:count" , "how many fingers are used to draw a bow" 
"NUM:date" , "when was hurricane hugo" 
"HUM:ind" , "what was the first member of congress to enlist following the attack on pearl harbor" 
"NUM:money" , "what was the price of varian associates vacuum products division" 
"NUM:date" , "when was the great depression" 
"HUM:ind" , "what classical spanish writer warned all that glitters is not gold" 
"HUM:ind" , "what actor married john kennedy sister" 
"HUM:ind" , "who fired maria ybarra from her position in san diego council" 
"NUM:period" , "the italian artist maurizio pellegrin is how old" 
"HUM:ind" , "who was the first black golfer to tee off in the masters" 
"LOC:city" , "what city is the setting for puccini opera la boheme" 
"HUM:ind" , "what president showed a fondness for munching on bee pollen bars" 
"HUM:ind" , "whose cover is that of an employee of universal import and export" 
"HUM:ind" , "what former president daughter has written a book titled murder in the white house" 
"HUM:ind" , "what fictional character is known as the melancholy dane" 
"HUM:ind" , "what longtime game show host dropped dead while jogging in central park in" 
"HUM:ind" , "who were the filthiest people alive" 
"NUM:date" , "in what year did ireland elect its first woman president" 
"LOC:other" , "where is mozambique located" 
"NUM:count" , "how many months does a normal human pregnancy last" 
"HUM:ind" , "what is the real name of disc jockey wolfman jack" 
"LOC:city" , "what city houses the headquarters of procter and gamble" 
"NUM:money" , "how much was the minimum wage in" 
"HUM:ind" , "who invented silly putty" 
"HUM:ind" , "who patented the first phonograph" 
"NUM:count" , "how many vietnamese were there in the soviet union" 
"NUM:count" , "on average how many miles are there to the moon" 
"HUM:ind" , "who created private detective philip marlowe" 
"LOC:country" , "what is the smallest country in africa" 
"HUM:ind" , "who coined the term nn cyberspace in his novel nn neuromancer" 
"HUM:ind" , "what is the full name of the man who invented the multicolored game cube that has quintillion potential combinations" 
"HUM:ind" , "who was lauren bacall first husband" 
"NUM:count" , "how many hands does bjorn borg use when hitting his forehand" 
"NUM:count" , "how many people died on" 
"HUM:ind" , "what congressman said keep the faith baby" 
"HUM:ind" , "who created the character of scrooge" 
"NUM:other" , "what is the student population at the university of massachusetts in amherst" 
"LOC:other" , "where is windsor castle" 
"NUM:date" , "when did the dow first reach" 
"LOC:other" , "where can i find the names of all the pokemon" 
"LOC:state" , "what state does martha stewart live in" 
"LOC:country" , "what are the benelux countries" 
"LOC:other" , "where the petrified forest" 
"LOC:other" , "where is tornado alley" 
"HUM:ind" , "who was the author of john brown body" 
"HUM:ind" , "what american poet wrote good fences make good neighbors" 
"LOC:state" , "what state in the has the most blacks" 
"LOC:city" , "what is the city in which maurizio pellegrin lives called" 
"HUM:ind" , "who painted the sistine chapel" 
"HUM:ind" , "name the various costumed personas of henry pym" 
"LOC:other" , "what is the oldest website on the internet" 
"HUM:ind" , "what explorers followed columbus to the americas" 
"HUM:ind" , "who is actress goldie hawn current actor boyfriend" 
"HUM:ind" , "who banned peter rose from baseball for betting on games" 
"NUM:date" , "when was the san francisco fire" 
"NUM:count" , "how many casinos are in atlantic city nj" 
"NUM:date" , "what year did the vietnam war end" 
"HUM:ind" , "what are the names of richard nixon two daughters" 
"NUM:count" , "what is the chromosome number of an elephant" 
"LOC:other" , "what the longest river in the world" 
"NUM:date" , "when was berlin brandenburg gate erected" 
"NUM:count" , "how many spaces are there on a scrabble crossword game board" 
"NUM:date" , "what year did germany sign its nonaggression pact with the soviet union" 
"LOC:mount" , "what mountain range is traversed by the highest railroad in the world" 
"HUM:ind" , "who was nicknamed the little corporal" 
"NUM:count" , "how many cds has garth brooks sold" 
"LOC:other" , "where are the leading medical groups specializing in lung diseases" 
"LOC:other" , "what the sacred river of india" 
"LOC:country" , "what is stefan edberg native country" 
"NUM:count" , "how many gutenberg bibles are there" 
"LOC:country" , "name the largest country in south america" 
"HUM:ind" , "what was american folk hero john chapman nickname" 
"HUM:ind" , "what author did photographer yousuf karsh call the shiest man i ever met" 
"LOC:country" , "what country are godiva chocolates from" 
"HUM:ind" , "name the poet of the poem which begins i do not know much about gods but i think that the river is a strong brown and untamed" 
"LOC:state" , "what state records the least rainfall" 
"LOC:city" , "what texas city got its name from the spanish for yellow" 
"LOC:country" , "what country did the nile river originate in" 
"HUM:ind" , "what barroom judge called himself the law west of the pecos" 
"HUM:ind" , "who was president of costa rica in" 
"LOC:country" , "what country has the best defensive position in the board game diplomacy" 
"LOC:country" , "what two countries share the khyber pass" 
"HUM:ind" , "who was chairman of the senate select committee that tried to get to the bottom of watergate" 
"HUM:ind" , "what actor starred in blue lagoon the pirate movie and a night in heaven" 
"NUM:count" , "how many home runs did lou gehrig have during his career" 
"LOC:city" , "in what city is the headquarters of sinn fein" 
"LOC:other" , "where can i find information on george bush" 
"HUM:ind" , "who is the voice of miss piggy" 
"HUM:ind" , "who replaced bert parks as the host of the miss america pageant" 
"NUM:count" , "how many boys play the game in winslow homer painting snap the whip" 
"NUM:date" , "when are sheep shorn" 
"LOC:other" , "what the island in the world" 
"NUM:date" , "what century does captain video live in" 
"NUM:count" , "how many astronauts manned each project mercury flight" 
"LOC:other" , "where is logan airport" 
"HUM:ind" , "who was the first person inducted into the swimming hall of fame" 
"HUM:ind" , "what golfer has been called ohio fats and blobbo" 
"HUM:ind" , "who murdered leno and rosemary labianca on august" 
"NUM:money" , "what is the average cost for four years of medical school" 
"HUM:ind" , "which of the following men was not married to rita hayworth" 
"NUM:money" , "what is the current ticket fare from from cairo to barbados" 
"LOC:state" , "what is the state nickname of mississippi" 
"NUM:count" , "how many students attend the university of massachusetts" 
"HUM:ind" , "who said i shall return during world war two" 
"HUM:ind" , "who portrayed etta place companion to butch cassidey and the sundance kid" 
"LOC:other" , "what the name of the temple that is located near the capital city of laos" 
"LOC:other" , "where is the actress marion davies buried" 
"HUM:ind" , "who was the charlie perfume woman" 
"HUM:ind" , "who portrayed rosanne on the television show saturday night live" 
"HUM:ind" , "what singer became despondent over the death of freddie prinze quit show business and then quit the business" 
"NUM:date" , "when did iraqi troops invade kuwait" 
"HUM:ind" , "what famous singing cowboy owns the california angels baseball team" 
"NUM:perc" , "what is the probability that at least out of people will have the same birthday" 
"NUM:count" , "how many canadians emmigrate each year" 
"HUM:ind" , "who was gerald ford vice president" 
"NUM:count" , "how many different languages are spoken in europe" 
"NUM:date" , "what year was desmond mpilo tutu awarded the nobel peace prize" 
"HUM:ind" , "who invented batteries" 
"LOC:other" , "where can i buy a good snowboard for less than" 
"HUM:ind" , "what was the infamous pseudonym of peter sutcliffe" 
"LOC:other" , "what london street is the home of british journalism" 
"LOC:city" , "in what city is the famed mark square" 
"NUM:money" , "how much did the minimum wage amount to in" 
"LOC:other" , "where is tufts university" 
"NUM:other" , "what is the chemical reactivity of argon" 
"NUM:count" , "how many engines does a boeing have" 
"NUM:dist" , "how long was mao long march" 
"NUM:weight" , "what does a teaspoon of matter weigh in a black hole" 
"LOC:state" , "what province is edmonton located in" 
"HUM:ind" , "who did sonny liston succeed as world heavyweight boxing champion" 
"NUM:date" , "what is martin luther king real birthday" 
"HUM:ind" , "what president dispatched a cruiser to carry charles lindbergh home after his epic flight" 
"HUM:ind" , "whose video is titled shape up with arnold" 
"NUM:count" , "how many james bond novels are there" 
"NUM:volsize" , "how large is the arctic refuge to preserve unique wildlife and wilderness value on alaska north coast" 
"NUM:count" , "how much electricity does the brain need to work" 
"NUM:count" , "how many acres in a mile" 
"HUM:ind" , "who the twin brother of the greek goddess artemis" 
"NUM:money" , "what is the income of colombia south america" 
"NUM:count" , "how many grammys did michael jackson win in" 
"LOC:other" , "what is the oldest website on the internet" 
"NUM:period" , "what is the average age of a member of the team that worked on the manhatten project" 
"LOC:country" , "what country received all the nobel prizes awarded in" 
"NUM:count" , "how many syllables are there in a line of hendecasyllabic poetry" 
"LOC:other" , "what is britain possession on the chinese mainland" 
"HUM:ind" , "who was america first public enemy no" 
"NUM:count" , "how many children under are victims of some sort of physical abuse each year" 
"HUM:ind" , "who lives at sussex drive ottawa" 
"LOC:state" , "what are the only two states that incorporate the confederate battle flag in their flags" 
"LOC:other" , "where is guam" 
"HUM:ind" , "who was the famous brush salesman" 
"NUM:count" , "how many people in america snore" 
"HUM:ind" , "who is always trying to get the rent from andy capp" 
"HUM:ind" , "who did jackie kennedy commission to write the death of a president" 
"NUM:count" , "how many stars are there on the soviet union flag" 
"HUM:ind" , "who sought to create the great society" 
"LOC:other" , "what are tourist attractions in reims" 
"NUM:dist" , "what are the lengths of pearl necklaces" 
"HUM:ind" , "who said soldiers win the battles and generals get the credit" 
"NUM:period" , "how long does it take the typical hen to lay dozen eggs" 
